 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 133, 1, -4604.49785903, 399301.229019, 5433.81888358, 0.0, -148771.492979, 0.0
combULS01, 134, 0, -296.553976168, -32857.1487015, 937.07379305, 0.0, -15935.1343899, 0.0
combULS01, 134, 1, 980.501288022, 25420.5831141, 937.07379305, 0.0, -37730.5421563, 0.0
combULS01, 135, 0, -744.280578053, -98655.7254243, 2370.51066217, 0.0, -54162.4484722, 0.0
combULS01, 135, 1, -614.637799055, 98880.4038011, 2370.51066217, 0.0, -54144.9807539, 0.0
combULS01, 136, 0, 1062.56695981, -32421.5684631, 1828.80586651, 0.0, -85432.4864224, 0.0
combULS01, 136, 1, -1908.57997033, 140911.368786, 1828.80586651, 0.0, -46602.5485133, 0.0
combULS01, 137, 0, 52.0783311184, -18490.9437891, 480.772798208, 0.0, -12001.1469577, 0.0
combULS01, 137, 1, 109.966857956, 18485.0653583, 480.772798208, 0.0, -11997.941671, 0.0
combULS01, 138, 0, 795.64451255, -25326.2389323, 904.426122641, 0.0, -37696.039368, 0.0
combULS01, 138, 1, -242.472938189, 32774.6357655, 904.426122641, 0.0, -15885.8222672, 0.0
combULS01, 139, 0, 1456.96701698, -9976.62767612, 553.084625405, 0.0, -53332.2542088, 0.0
combULS01, 139, 1, -509.22917397, 36045.060211, 553.084625405, 0.0, -9236.03033667, 0.0
combULS01, 141, 0, -261.973058029, -17819.9006682, -51.101719316, 0.0, -11973.2349958, 0.0
combULS01, 141, 1, 279.196968781, -17764.613234, -51.101719316, 0.0, -11943.0888421, 0.0
combULS01, 142, 0, -771.956265388, -23710.9873822, 57.6042462756, 0.0, -37333.1187518, 0.0
combULS01, 142, 1, 225.244531777, -31384.6383852, 57.6042462756, 0.0, -15544.3808435, 0.0
combULS01, 143, 0, -1444.67341346, -9380.78447403, -26.2474176755, 0.0, -52316.0072001, 0.0
combULS01, 143, 1, 394.289035232, -34146.5930247, -26.2474176755, 0.0, -8730.60950943, 0.0
combULS01, 144, 0, -282.53812697, -32160.6836777, -253.338722443, 0.0, -16008.1680087, 0.0
combULS01, 144, 1, 960.744201192, -24598.3071378, -253.338722443, 0.0, -37657.6221304, 0.0
combULS01, 145, 0, -673.646385987, -95015.4611117, -251.96344499, 0.0, -53711.1986206, 0.0
